ratio,seed,iter,BRC_star_adapted,WRC_star,collapse_score,direction_diversity,effective_rank,norm_variance,row_norm_std,sigma_weight,token_spread
4,456,17000,0.290233,0.216471,1.197852,0.683913,69.534312,0.843100,0.918205,0.918205,0.163878
5,123,18000,0.317722,0.212804,1.259080,0.665652,69.533285,0.903019,0.950273,0.950273,0.165549
7,42,20000,0.342699,0.218811,1.257033,0.658770,69.531892,1.008629,1.004305,1.004305,0.171456
7,42,22000,0.330498,0.224049,1.208712,0.670165,69.524631,1.004023,1.002010,1.002010,0.172881
8,456,21000,0.336318,0.215202,1.249672,0.662525,69.522278,0.993158,0.996573,0.996573,0.170051
8,456,22000,0.333196,0.217530,1.233509,0.665941,69.521681,0.994844,0.997419,0.997419,0.170820
8,123,20000,0.347855,0.208467,1.290493,0.651675,69.518068,0.997303,0.998650,0.998650,0.169916
1,456,18000,0.262391,0.230660,1.117972,0.704422,69.505704,0.788051,0.887722,0.887722,0.164388
3,42,14000,0.300071,0.225419,1.249253,0.672393,69.501893,0.838962,0.915949,0.915949,0.162242
15,456,27000,0.378320,0.219064,1.251786,0.651419,69.494569,1.177906,1.085314,1.085314,0.178467
15,42,49000,0.338427,0.261923,1.039835,0.697142,69.492482,1.248684,1.117445,1.117445,0.191256
6,123,19000,0.334623,0.210905,1.273895,0.658521,69.471443,0.960248,0.979922,0.979922,0.168059
15,42,50000,0.342386,0.264358,1.038575,0.696339,69.470350,1.271313,1.127525,1.127525,0.192382
4,123,16000,0.314210,0.215508,1.280421,0.663190,69.469455,0.870303,0.932900,0.932900,0.163047
15,123,25000,0.418604,0.209901,1.354809,0.623364,69.458392,1.235276,1.111430,1.111430,0.177999
0,456,18000,0.213091,0.246054,0.974134,0.743356,69.447629,0.689399,0.830300,0.830300,0.163458
1,123,16000,0.271857,0.224518,1.170571,0.693494,69.434947,0.786690,0.886956,0.886956,0.161843
12,456,28000,0.366064,0.220955,1.224618,0.658545,69.432000,1.149337,1.072072,1.072072,0.178826
9,123,20000,0.368460,0.206007,1.321271,0.641108,69.431073,1.054032,1.026661,1.026661,0.171626
9,42,19000,0.338617,0.212539,1.276715,0.656722,69.425247,0.973027,0.986421,0.986421,0.168876
10,123,19000,0.367891,0.206862,1.349587,0.636402,69.418924,1.023758,1.011809,1.011809,0.169414
0,123,17000,0.243887,0.230795,1.080970,0.716285,69.416475,0.738946,0.859620,0.859620,0.162463
20,123,37000,0.398141,0.226789,1.195260,0.653239,69.409557,1.318298,1.148172,1.148172,0.190113
2,42,14000,0.289694,0.230071,1.220179,0.680175,69.397875,0.820455,0.905790,0.905790,0.162113
20,42,25000,0.438984,0.201277,1.386501,0.612477,69.391687,1.283225,1.132795,1.132795,0.179497
7,123,17000,0.351344,0.206963,1.339860,0.642936,69.389966,0.968215,0.983979,0.983979,0.166494
0,42,11000,0.222282,0.236060,1.092515,0.721936,69.386856,0.639024,0.799389,0.799389,0.154518
